County Name,Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",Population Education and Child Care Personnel
Tarrant,"1,449,310","1,484,437","838,474","686,464","1,738,948","1,617,160","244,511","86,106","18,386","590,239","56,668"
Taylor,"94,735","81,243","44,919","38,707","115,070","107,257","20,131","11,065","2,465","36,680","4,185"
Terrell,0,614,342,287,678,639,255,10,0,207,0
Terry,"8,590","6,779","3,870","3,300","10,047","9,307","1,858",345,178,"3,985",416
Throckmorton,"2,100","1,001",537,480,"1,314","1,247",445,64,0,399,0
Titus,"25,200","15,044","8,789","6,757","26,439","24,323","4,845","1,811",633,"9,797","1,297"
Tom Green,"95,140","73,482","39,927","35,111","99,574","93,752","18,625","6,702","1,601","33,131","3,815"
Travis,"2,165,090","1,193,797","688,293","551,141","1,092,827","1,032,386","129,553","51,820","8,264","311,477","32,884"
Trinity,"5,050","8,024","4,601","3,857","12,733","12,104","3,956",347,241,"4,400",427
Tyler,"9,300","9,624","5,603","4,244","18,949","17,963","4,895",476,238,"6,926",722
Upshur,"5,300","16,311","9,272","7,888","35,243","33,011","7,825",714,567,"12,366","1,404"
Upton,"3,200","2,207","1,205","1,011","2,953","2,730",537,170,30,"1,105",0
Uvalde,"31,145","18,206","10,212","8,597","21,980","20,379","4,508","1,498",515,"8,253",985
Val Verde,"43,030","33,841","21,190","14,888","39,580","36,546","7,003","2,610",490,"14,417",104
Van Zandt,"13,100","25,744","14,824","12,441","48,037","45,216","11,495","1,280",711,"16,861","1,783"
Victoria,"60,590","57,045","31,311","27,097","76,348","71,388","15,242","5,624","1,030","27,119",241
Walker,"36,770","40,518","25,553","17,395","66,420","63,471","10,049","1,526",400,"24,628","1,438"
Waller,"15,640","27,833","16,271","12,832","46,544","43,350","6,546","1,182",466,"16,819","1,813"
Ward,"4,940","6,622","3,732","3,187","9,651","8,921","1,629",137,92,"3,551",0
Washington,"63,100","25,128","14,015","11,752","30,940","29,086","7,889","2,581","1,018","10,662",72
Webb,"206,550","267,543","157,096","122,601","215,919","196,916","26,921","12,073","1,646","88,397","11,668"
Wharton,"18,490","25,085","14,889","11,770","34,591","32,110","7,239","1,438",615,"12,933","1,328"
Wheeler,"3,000","2,481","1,437","1,247","4,211","3,915","1,002",200,114,"1,459",243
Wichita,"76,520","75,527","42,686","37,160","111,604","105,631","19,854","8,664","2,030","42,031","3,508"
Wilbarger,"10,600","8,343","4,790","4,389","10,971","10,361","2,421",457,304,"4,240",27
Willacy,"8,300","16,611","9,488","7,394","18,065","16,897","3,057",325,557,"7,612",775
Williamson,"449,190","510,581","297,114","233,924","493,204","458,433","73,202","14,404","4,639","146,388","19,090"
Wilson,"23,300","30,313","18,402","13,913","43,258","40,488","8,411","1,224",615,"13,986","1,510"
Winkler,"2,000","3,928","2,239","1,935","6,466","5,954",964,102,0,"2,445",0
Wise,"29,680","34,541","19,617","16,855","58,448","54,722","10,598","3,589",552,"22,459","1,533"
Wood,"6,700","25,566","14,784","12,575","39,990","38,005","12,527","1,046",880,"13,019","1,130"
Yoakum,"3,400","4,487","2,694","2,268","6,743","6,135","1,033",225,60,"2,367",0
Young,"8,500","9,279","5,329","4,731","15,127","14,219","3,774",862,431,"5,296",626
Zapata,"8,400","11,501","6,685","5,638","10,966","9,981","1,866",195,202,"4,642",0
Zavala,"2,200","8,134","4,538","3,674","9,644","8,840","1,723",25,60,"4,035",458
Other,,"246,858","161,666","99,863",,,,,,,
